-5,6,16,28,40,9,-2,-11
-27,-35,-10,-2,-1,-5,-8,-11
13,-11,-4,-5,-8,-4,1,10
-3,68,-7,-6,-7,-7,-6,-7
5,-10,5,-2,-6,-3,4,11
-1,-17,0,-4,-3,0,-2,-12
-13,-16,-5,-3,-2,-1,-3,-8
4,-50,-2,9,8,2,3,6
21,-6,7,-1,-7,0,5,9
2,-26,17,12,7,-3,-2,-2
-41,-16,-19,-25,-16,-4,-14,-20
-12,-26,-5,5,7,-5,-5,-3
1,13,3,-4,-11,-6,-2,2
25,4,-2,-3,-4,6,10,17
19,18,20,13,10,12,10,7
1,-13,0,3,3,0,-1,-6
-3,-3,-4,-4,-6,-8,-3,0
2,19,-8,-3,-4,-2,-2,2
-23,10,2,1,-1,-3,-5,-17
3,-15,-8,-4,-2,-4,-4,-5
-16,-21,-4,-4,-6,-3,-5,-7
-10,-8,-9,-4,0,-6,-5,-4
24,-3,11,5,6,1,2,10
11,-13,-14,-13,-9,-1,2,0
-11,5,12,9,5,5,6,-3
-1,-2,6,6,6,-1,-4,-2
-1,-1,-9,-6,-3,-3,-2,6
7,-11,4,2,-6,-4,-3,1
5,1,-4,-5,-2,-3,-2,1
1,-8,-7,-5,-1,0,1,-2
6,0,4,4,-2,1,1,-2
8,2,6,4,11,7,2,7
-5,-3,-1,-1,-2,0,-1,-5
-20,-7,-4,-2,-1,-2,-4,-6
10,-6,1,-1,-3,-3,0,1
-4,57,-5,-4,-8,-6,-2,6
-7,100,1,2,1,1,-2,-8
6,73,0,5,4,2,-1,-3
-4,78,-8,-3,2,3,0,-5
-5,36,0,1,1,-5,-2,-6
2,-15,-3,-13,-13,-4,-3,0
0,-35,0,1,-1,-2,1,5
-7,-60,-3,14,8,-3,-3,-4
19,-56,13,-14,-18,-3,-1,-2
-9,-30,2,11,18,9,0,2
-5,-23,-6,-6,-5,-2,-3,-2
9,4,-1,-3,-1,-1,2,1
-17,-33,-1,5,1,-7,-4,-3
-7,-21,-13,-13,-19,-13,-7,-9
7,-14,8,0,1,4,1,2
7,-14,7,7,12,6,2,7
1,-41,-5,4,8,5,4,-1
14,-43,1,9,2,-6,-4,0
-33,-21,-15,-41,-30,-5,-4,-11
-5,10,15,24,24,7,4,1
-4,-22,-9,-7,-2,-1,0,-1
-2,-19,-5,5,3,-1,1,3
16,15,8,-2,-11,-10,-7,0
-9,8,-4,-22,-28,-8,-3,-5
-1,-8,1,-3,9,14,5,2
1,-12,-5,-2,-5,3,0,-4
3,5,0,16,23,3,0,4
-7,6,-4,-3,0,1,-2,-4
3,-9,-4,6,-1,-4,-1,3
3,11,-1,-14,-14,-21,-8,-2
-2,12,-1,3,4,20,1,-3
2,6,-2,0,1,-2,0,1
-8,-8,-1,-1,-4,-9,-6,-7
-5,-9,-5,-5,-3,4,0,0
23,-16,-7,2,3,-9,0,3
-17,1,4,3,3,-2,2,0
-13,-6,1,0,-8,-5,-5,-7
-2,5,6,-3,-1,1,3,2
8,7,0,13,17,3,6,4
14,6,-4,-7,-5,1,-1,0
-17,-6,4,2,2,-7,-7,-4
-2,3,-4,-4,-5,-1,-4,-4
-3,-7,-9,-14,-16,-4,-1,2
3,10,2,7,14,6,-1,-3
10,-12,-4,2,4,0,0,3
-1,22,9,4,6,4,4,1
-6,-1,-1,1,-4,-5,-2,-3
-3,-1,-6,-6,-9,-7,-2,1
11,13,-6,-3,-5,-2,-3,-2
-3,-12,0,0,2,3,1,1
-2,-1,-1,1,-1,-4,-2,-4
4,22,1,-5,-6,0,-1,3
1,-1,3,-4,-1,6,5,-1
3,2,6,13,16,4,0,2
-5,6,-1,2,2,-1,-1,-1
12,1,-1,-3,-6,0,-1,3
-13,-39,-8,-3,-6,-4,-3,0
17,25,3,-3,-5,0,0,-6
-5,26,7,1,2,2,2,-3
-4,-2,-1,-6,-4,0,-1,-2
-2,8,1,3,2,-1,-1,-2
-4,-15,-6,-5,-6,-6,-3,-1
2,-15,-6,1,3,-1,-2,-2
1,11,2,-3,-1,0,-1,0
0,6,-2,1,1,-2,0,1
-7,-16,3,5,0,-7,-6,-3
4,5,4,0,-6,3,4,3
-7,-13,-7,-10,-2,-2,-2,0
-2,3,-3,12,21,9,5,0
-3,-1,2,4,2,2,0,4
-6,-7,-3,-1,-5,-6,-3,-2
4,4,11,2,-5,-4,-2,-1
5,-1,-15,-9,-9,-3,-5,0
2,36,3,-4,-1,3,3,-2
-5,-4,1,0,0,1,-2,-2
-6,-10,-5,-2,-3,-1,-1,-2
-5,8,8,1,1,-1,-1,-1
-3,-11,-5,1,-1,0,-1,2
2,-8,-6,-2,0,-1,0,2
-4,-6,-22,-9,-4,-4,-3,-4
3,12,9,0,0,-1,-3,-1
-5,-11,-18,-8,-4,-1,-1,0
-2,0,3,3,0,-1,-1,-2
1,-6,0,3,3,2,1,1
-1,-5,6,3,0,1,1,-2
-2,-8,8,-3,-4,-3,-1,-3
-3,-6,0,2,1,-2,0,-1
-2,-1,0,-4,-3,1,0,-1
2,1,-6,-4,-3,-1,-2,-1
-3,-5,-1,-3,-1,0,0,-2
0,-2,-2,-1,0,-2,0,0
0,2,0,4,-1,-1,-1,-2
1,-5,5,0,0,0,-1,-1
-1,-10,0,-2,0,0,2,1
-3,-1,-16,-7,-3,-3,-2,-1
0,3,1,0,-1,-2,-1,0
-1,3,3,1,-1,0,1,-1
-1,-4,2,1,-3,0,0,-1
-1,-3,6,-2,-2,0,-1,-1
0,2,2,2,0,-2,-1,1
0,1,-5,0,-1,0,-1,-1
-1,-5,-2,-3,0,-1,-1,-2
0,1,1,1,0,0,-2,-1
-1,0,-2,0,-1,-1,2,-2
-2,-2,-3,0,0,0,-2,-2
-2,-1,0,-3,-3,-3,-1,0
1,3,-4,-2,-1,-1,-1,0
0,-1,1,0,-1,-2,-2,-1
-4,-4,-4,-4,-3,-1,1,-1
-1,-1,-3,-2,-1,0,-3,-2
2,0,3,1,1,-1,-1,0
-1,-1,1,-2,0,0,0,-1
0,2,0,1,-1,2,-1,-1
-1,-3,-3,-1,2,1,-1,1
-2,0,0,-3,-2,-2,1,1
